cell50x50,SR_natural_ebba1,SR_human_dominated_ebba1,SR_natural_ebba2,SR_human_dominated_ebba2,deltaSR_bird_natural,deltaSR_bird_human_dominated,SR_natural_m_b2000,SR_human_dominated_m_b2000,SR_natural_m_a2015,SR_human_dominated_m_a2015,deltaSR_mammal_natural,deltaSR_mammal_human_dominated
29UMT1,23,92,20,66,-3,-26,3,11,4,10,1,-1
29UMT2,14,71,17,73,3,2,3,6,4,14,1,8
29UMT3,NA,NA,NA,NA,NA,NA,4,10,4,17,0,7
29UMT4,13,63,13,77,0,14,3,10,4,11,1,1
29UMU2,NA,NA,NA,NA,NA,NA,2,3,3,2,1,-1
29UMU3,19,87,15,69,-4,-18,4,10,4,13,0,3
29UMU4,NA,NA,NA,NA,NA,NA,3,5,4,10,1,5
29UMV1,NA,NA,NA,NA,NA,NA,2,5,3,10,1,5
29UMV2,22,75,22,75,0,0,3,4,3,8,0,4
29UMV3,NA,NA,NA,NA,NA,NA,3,4,4,14,1,10
29UMV4,16,86,13,85,-3,-1,3,6,4,16,1,10
29UNA1,28,88,17,68,-11,-20,3,4,3,10,0,6
29UNA2,18,86,20,76,2,-10,3,11,4,10,1,-1
29UNA3,13,89,9,78,-4,-11,3,12,3,14,0,2
29UNA4,15,92,11,85,-4,-7,3,17,3,17,0,0
29UNB4,26,92,21,85,-5,-7,2,6,3,9,1,3
29UNT1,17,80,6,70,-11,-10,3,7,4,13,1,6
29UNT2,11,70,14,68,3,-2,3,8,4,14,1,6
29UNT3,15,80,15,76,0,-4,4,10,4,12,0,2
29UNU1,NA,NA,NA,NA,NA,NA,4,10,4,14,0,4
29UNU2,10,80,10,75,0,-5,4,9,4,18,0,9
29UNU3,7,79,7,80,0,1,3,8,4,11,1,3
29UNU4,6,84,6,73,0,-11,3,8,5,12,2,4
29UNV1,NA,NA,NA,NA,NA,NA,3,8,4,13,1,5
29UNV2,NA,NA,NA,NA,NA,NA,3,6,4,12,1,6
29UNV3,NA,NA,NA,NA,NA,NA,3,8,4,13,1,5
29UNV4,12,88,8,83,-4,-5,3,7,4,12,1,5
29UPA1,NA,NA,NA,NA,NA,NA,2,9,3,17,1,8
29UPA2,8,80,6,72,-2,-8,2,15,3,16,1,1
29UPA3,NA,NA,NA,NA,NA,NA,2,10,4,16,2,6
29UPA4,19,85,11,80,-8,-5,2,14,3,19,1,5
29UPB2,19,93,21,83,2,-10,3,8,3,12,0,4
29UPB4,20,90,17,72,-3,-18,2,10,3,19,1,9
29UPT1,NA,NA,NA,NA,NA,NA,3,7,4,12,1,5
29UPU1,NA,NA,NA,NA,NA,NA,3,9,5,13,2,4
29UPU2,NA,NA,NA,NA,NA,NA,3,6,4,12,1,6
29UPU3,20,92,20,89,0,-3,3,10,5,14,2,4
29UPU4,17,87,12,75,-5,-12,2,5,4,11,2,6
29UPV1,NA,NA,NA,NA,NA,NA,2,7,3,12,1,5
29UPV2,6,90,6,79,0,-11,3,7,4,14,1,7
29UPV3,NA,NA,NA,NA,NA,NA,2,11,3,10,1,-1
29UPV4,21,88,22,78,1,-10,2,11,4,18,2,7
29VPC3,28,86,24,78,-4,-8,4,15,4,16,0,1
29VPE4,NA,NA,NA,NA,NA,NA,2,11,3,13,1,2
30STF3,19,122,19,134,0,12,NA,5,5,14,NA,9
30STF4,19,135,22,138,3,3,NA,3,4,22,NA,19
30STG3,NA,NA,NA,NA,NA,NA,NA,NA,4,27,NA,NA
30STG4,NA,NA,NA,NA,NA,NA,NA,3,4,27,NA,24
30STH3,13,102,13,106,0,4,NA,1,3,11,NA,10
30STH4,NA,NA,NA,NA,NA,NA,NA,NA,3,16,NA,NA
30STJ3,18,117,20,135,2,18,2,9,3,22,1,13
30STJ4,17,127,20,130,3,3,NA,NA,3,11,NA,NA
30STK4,19,133,26,151,7,18,1,10,3,20,2,10
30SUF1,13,114,19,122,6,8,1,NA,4,20,3,NA
30SUF2,12,87,11,95,-1,8,NA,NA,3,15,NA,NA
30SUF3,15,125,22,136,7,11,NA,1,3,22,NA,21
30SUF4,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA
30SUG1,NA,NA,NA,NA,NA,NA,NA,2,3,20,NA,18
30SUG2,NA,NA,NA,NA,NA,NA,NA,NA,4,17,NA,NA
30SUG3,16,108,11,96,-5,-12,NA,NA,4,17,NA,NA
30SUG4,17,117,19,125,2,8,1,1,4,21,3,20
30SUH1,NA,NA,NA,NA,NA,NA,1,10,2,14,1,4
30SUH2,13,91,11,102,-2,11,NA,NA,2,16,NA,NA
30SUH3,NA,NA,NA,NA,NA,NA,3,15,3,14,0,-1
30SUH4,NA,NA,NA,NA,NA,NA,1,NA,4,17,3,NA
30SUJ1,16,107,17,121,1,14,2,16,2,12,0,-4
30SUJ2,15,121,13,111,-2,-10,1,13,3,11,2,-2
30SUJ3,NA,NA,NA,NA,NA,NA,NA,11,3,16,NA,5
30SUJ4,NA,NA,NA,NA,NA,NA,NA,9,3,14,NA,5
30SUK2,20,134,18,137,-2,3,2,16,3,14,1,-2
30SUK4,16,121,20,134,4,13,NA,11,4,14,NA,3
30SVF1,14,117,17,126,3,9,2,NA,4,15,2,NA
30SVF3,16,109,19,119,3,10,4,6,5,18,1,12
30SVG1,10,95,11,102,1,7,NA,NA,3,16,NA,NA
30SVG2,13,111,13,125,0,14,3,5,2,19,-1,14
30SVG3,16,112,15,114,-1,2,NA,9,3,14,NA,5
30SVG4,15,107,14,109,-1,2,3,10,4,14,1,4
30SVH1,NA,NA,NA,NA,NA,NA,NA,8,3,19,NA,11
30SVH2,NA,NA,NA,NA,NA,NA,NA,4,6,26,NA,22
30SVH3,14,110,12,106,-2,-4,1,10,5,18,4,8
30SVH4,NA,NA,NA,NA,NA,NA,NA,9,3,13,NA,4
30SVJ1,NA,NA,NA,NA,NA,NA,NA,8,2,14,NA,6
30SVJ2,NA,NA,NA,NA,NA,NA,2,10,4,20,2,10
30SVJ3,NA,NA,NA,NA,NA,NA,1,5,1,13,0,8
30SVJ4,NA,NA,NA,NA,NA,NA,NA,6,2,11,NA,5
30SVK2,NA,NA,NA,NA,NA,NA,1,15,3,18,2,3
30SVK4,12,111,18,127,6,16,NA,8,4,14,NA,6
30SWF1,23,113,19,116,-4,3,3,17,2,14,-1,-3
30SWF3,NA,NA,NA,NA,NA,NA,NA,13,2,13,NA,0
30SWG1,16,108,15,107,-1,-1,1,3,4,16,3,13
30SWG2,12,94,10,100,-2,6,1,7,4,22,3,15
30SWG3,13,90,10,89,-3,-1,1,1,2,12,1,11
30SWG4,NA,NA,NA,NA,NA,NA,1,3,2,22,1,19
30SWH1,13,103,11,115,-2,12,1,12,3,12,2,0
30SWH2,NA,NA,NA,NA,NA,NA,5,16,4,16,-1,0
30SWH3,NA,NA,NA,NA,NA,NA,NA,9,3,12,NA,3
30SWH4,NA,NA,NA,NA,NA,NA,1,13,3,16,2,3
30SWJ1,NA,NA,NA,NA,NA,NA,NA,5,2,11,NA,6
30SWJ2,NA,NA,NA,NA,NA,NA,NA,7,2,12,NA,5
30SWJ3,NA,NA,NA,NA,NA,NA,1,8,3,14,2,6
30SWJ4,NA,NA,NA,NA,NA,NA,NA,3,3,16,NA,13
30SWK2,NA,NA,NA,NA,NA,NA,NA,6,2,12,NA,6
30SWK4,NA,NA,NA,NA,NA,NA,2,2,2,11,0,9
30SXF1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
30SXG1,NA,NA,NA,NA,NA,NA,1,6,1,9,0,3
30SXG2,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA
30SXG3,23,108,22,120,-1,12,NA,1,1,13,NA,12
30SXH1,NA,NA,NA,NA,NA,NA,NA,7,2,22,NA,15
30SXH2,14,92,13,110,-1,18,NA,5,5,19,NA,14
30SXH3,NA,NA,NA,NA,NA,NA,2,20,4,31,2,11
30SXH4,23,127,21,134,-2,7,1,10,5,28,4,18
30SXJ1,12,101,13,96,1,-5,2,16,3,18,1,2
30SXJ2,NA,NA,NA,NA,NA,NA,NA,8,3,19,NA,11
30SXJ3,15,104,14,108,-1,4,5,24,7,32,2,8
30SXJ4,14,98,14,115,0,17,5,26,5,33,0,7
30SXK2,14,96,17,110,3,14,3,9,5,25,2,16
30SXK4,16,113,18,110,2,-3,4,21,5,31,1,10
30SYG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
30SYH1,14,106,18,119,4,13,5,23,7,30,2,7
30SYH2,NA,NA,NA,NA,NA,NA,1,8,2,23,1,15
30SYJ1,22,125,23,135,1,10,5,26,7,31,2,5
30SYJ2,20,116,17,124,-3,8,6,24,7,30,1,6
30SYK2,19,127,19,124,0,-3,8,26,6,35,-2,9
30TTK3,20,129,17,131,-3,2,5,19,5,21,0,2
30TTL3,NA,NA,NA,NA,NA,NA,NA,1,2,16,NA,15
30TTL4,17,140,13,131,-4,-9,NA,2,3,23,NA,21
30TTM3,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA,NA
30TTM4,NA,NA,NA,NA,NA,NA,NA,NA,3,24,NA,NA
30TTN3,19,101,16,103,-3,2,NA,1,5,26,NA,25
30TTN4,15,134,19,132,4,-2,NA,NA,5,25,NA,NA
30TTP4,NA,NA,NA,NA,NA,NA,NA,NA,5,32,NA,NA
30TUK1,17,131,17,131,0,0,4,9,8,26,4,17
30TUK3,20,129,17,125,-3,-4,1,7,3,26,2,19
30TUL1,10,125,13,125,3,0,NA,1,2,19,NA,18
30TUL2,16,123,13,130,-3,7,1,NA,1,12,0,NA
30TUL3,10,112,14,126,4,14,NA,1,2,16,NA,15
30TUL4,17,129,17,135,0,6,NA,2,3,18,NA,16
30TUM1,12,111,11,118,-1,7,NA,NA,1,11,NA,NA
30TUM2,12,120,13,118,1,-2,NA,NA,2,18,NA,NA
30TUM3,16,124,13,123,-3,-1,NA,4,1,22,NA,18
30TUM4,13,124,15,122,2,-2,NA,NA,2,23,NA,NA
30TUN1,18,111,20,118,2,7,2,9,6,31,4,22
30TUN2,16,129,17,129,1,0,1,2,3,26,2,24
30TUN3,19,116,16,118,-3,2,3,9,9,47,6,38
30TUN4,23,126,20,130,-3,4,1,2,5,26,4,24
30TUP2,7,93,12,100,5,7,1,2,4,22,3,20
30TUP4,9,102,15,99,6,-3,NA,1,6,24,NA,23
30TUT3,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,7
30TVK1,22,128,21,141,-1,13,NA,23,4,31,NA,8
30TVK3,NA,NA,NA,NA,NA,NA,1,7,3,21,2,14
30TVL1,14,114,16,129,2,15,NA,1,2,12,NA,11
30TVL2,20,133,22,137,2,4,2,21,3,27,1,6
30TVL3,16,115,16,127,0,12,NA,4,3,27,NA,23
30TVL4,21,124,20,135,-1,11,NA,15,5,34,NA,19
30TVM1,15,121,13,125,-2,4,1,1,2,25,1,24
30TVM2,17,117,17,122,0,5,1,NA,3,30,2,NA
30TVM3,18,128,18,136,0,8,2,8,5,26,3,18
30TVM4,20,128,14,121,-6,-7,2,11,4,19,2,8
30TVN1,17,115,20,130,3,15,NA,2,8,43,NA,41
30TVN2,17,124,15,130,-2,6,1,4,6,40,5,36
30TVN3,14,118,16,131,2,13,2,5,7,37,5,32
30TVN4,19,129,15,131,-4,2,1,NA,4,31,3,NA
30TVP2,NA,NA,NA,NA,NA,NA,1,6,5,33,4,27
30TVP4,NA,NA,NA,NA,NA,NA,NA,NA,5,32,NA,NA
30TVT1,11,102,10,95,-1,-7,2,11,3,16,1,5
30TVT3,18,119,18,116,0,-3,4,27,6,38,2,11
30TWK1,15,114,18,128,3,14,NA,8,2,10,NA,2
30TWK3,16,114,13,113,-3,-1,1,NA,3,13,2,NA
30TWL1,15,108,13,122,-2,14,NA,4,3,23,NA,19
30TWL2,16,113,16,122,0,9,NA,12,2,14,NA,2
30TWL3,NA,NA,NA,NA,NA,NA,NA,1,2,12,NA,11
30TWL4,12,101,13,103,1,2,NA,7,3,13,NA,6
30TWM1,19,131,18,131,-1,0,1,2,4,16,3,14
30TWM2,16,127,15,129,-1,2,1,NA,4,25,3,NA
30TWM3,22,144,18,136,-4,-8,1,10,6,29,5,19
30TWM4,17,118,16,129,-1,11,1,9,3,14,2,5
30TWN1,13,118,17,130,4,12,1,NA,5,28,4,NA
30TWN2,21,136,23,150,2,14,2,12,5,23,3,11
30TWN3,16,126,19,119,3,-7,4,18,6,35,2,17
30TWN4,21,143,21,137,0,-6,2,24,7,28,5,4
30TWP2,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA
30TWP4,NA,NA,NA,NA,NA,NA,NA,3,1,8,NA,5
30TWS3,15,125,15,127,0,2,2,23,6,28,4,5
30TWS4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
30TWT1,19,131,19,122,0,-9,3,35,9,40,6,5
30TWT2,12,110,15,111,3,1,2,22,3,22,1,0
30TWT3,16,125,10,117,-6,-8,6,39,7,40,1,1
30TWT4,14,128,21,138,7,10,6,38,9,45,3,7
30TXK1,NA,NA,NA,NA,NA,NA,1,18,3,24,2,6
30TXK3,12,97,16,106,4,9,NA,NA,2,6,NA,NA
30TXL1,NA,NA,NA,NA,NA,NA,1,2,3,12,2,10
30TXL2,NA,NA,NA,NA,NA,NA,NA,NA,4,16,NA,NA
30TXL3,18,113,16,122,-2,9,NA,1,3,15,NA,14
30TXL4,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA
30TXM1,21,134,24,140,3,6,2,17,2,17,0,0
30TXM2,20,125,21,135,1,10,1,12,4,23,3,11
30TXM3,19,131,24,138,5,7,1,7,2,19,1,12
30TXM4,NA,NA,NA,NA,NA,NA,NA,1,3,25,NA,24
30TXN1,24,131,16,116,-8,-15,5,43,7,40,2,-3
30TXN2,24,136,22,143,-2,7,4,19,4,27,0,8
30TXN3,21,125,20,119,-1,-6,9,44,13,58,4,14
30TXN4,20,123,25,129,5,6,4,18,6,25,2,7
30TXP1,5,98,11,107,6,9,5,25,7,36,2,11
30TXP2,13,118,16,131,3,13,7,38,8,54,1,16
30TXP3,5,98,8,109,3,11,4,29,8,42,4,13
30TXP4,13,115,13,119,0,4,5,31,9,45,4,14
30TXQ1,7,101,11,110,4,9,3,23,8,43,5,20
30TXQ2,9,97,8,97,-1,0,4,22,6,35,2,13
30TXQ3,11,127,15,123,4,-4,3,29,8,50,5,21
30TXQ4,NA,NA,NA,NA,NA,NA,4,29,6,44,2,15
30TXR1,12,125,14,127,2,2,4,33,6,35,2,2
30TXR2,6,99,6,98,0,-1,4,11,5,34,1,23
30TXR3,13,131,17,140,4,9,6,48,10,48,4,0
30TXR4,10,117,15,134,5,17,5,35,9,45,4,10
30TXS1,13,127,11,114,-2,-13,5,28,8,42,3,14
30TXS2,18,139,15,140,-3,1,5,40,6,41,1,1
30TXS3,8,122,13,122,5,0,6,22,9,41,3,19
30TXS4,11,124,12,125,1,1,5,43,9,50,4,7
30TXT1,14,123,11,115,-3,-8,6,38,9,44,3,6
30TXT2,16,132,16,140,0,8,7,41,9,44,2,3
30TXT3,13,127,17,129,4,2,10,39,11,45,1,6
30TXT4,11,118,15,126,4,8,8,31,8,45,0,14
30TYK1,16,109,13,112,-3,3,5,23,6,29,1,6
30TYL1,19,105,18,121,-1,16,2,NA,3,16,1,NA
30TYL2,NA,NA,NA,NA,NA,NA,4,10,4,15,0,5
30TYM1,27,151,24,135,-3,-16,5,14,5,20,0,6
30TYM2,21,121,20,115,-1,-6,NA,7,5,11,NA,4
30TYN1,21,126,23,119,2,-7,10,53,14,59,4,6
30TYN2,26,126,25,128,-1,2,10,38,8,38,-2,0
30TYP1,NA,NA,NA,NA,NA,NA,6,38,8,44,2,6
30TYP2,NA,NA,NA,NA,NA,NA,6,36,7,43,1,7
30TYQ1,9,100,10,112,1,12,5,27,7,42,2,15
30TYQ2,7,99,8,107,1,8,6,33,9,43,3,10
30TYR1,10,123,7,127,-3,4,3,33,10,45,7,12
30TYR2,8,111,7,111,-1,0,5,39,9,45,4,6
30TYS1,8,115,15,129,7,14,6,42,10,49,4,7
30TYS2,NA,NA,NA,NA,NA,NA,7,31,10,52,3,21
30TYT1,13,130,15,129,2,-1,7,44,9,44,2,0
30TYT2,13,133,17,139,4,6,8,47,9,50,1,3
30UUA2,15,91,16,95,1,4,4,31,6,33,2,2
30UUA3,18,106,13,98,-5,-8,5,31,3,30,-2,-1
30UUA4,NA,NA,NA,NA,NA,NA,1,4,NA,5,NA,1
30UUB3,NA,NA,NA,NA,NA,NA,1,10,2,11,1,1
30UUB4,16,95,12,88,-4,-7,5,28,3,31,-2,3
30UUC3,14,86,15,89,1,3,3,30,5,32,2,2
30UUC4,21,107,20,99,-1,-8,3,34,5,32,2,-2
30UUD1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
30UUD3,NA,NA,NA,NA,NA,NA,4,26,2,20,-2,-6
30UUD4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
30UUE1,NA,NA,NA,NA,NA,NA,1,NA,1,3,0,NA
30UUF1,16,81,21,80,5,-1,2,10,3,18,1,8
30UUF2,17,78,15,79,-2,1,2,15,3,19,1,4
30UUF3,NA,NA,NA,NA,NA,NA,4,18,2,28,-2,10
30UUG1,19,82,16,68,-3,-14,4,21,3,18,-1,-3
30UUG2,NA,NA,NA,NA,NA,NA,4,22,2,12,-2,-10
30UUG3,16,99,27,105,11,6,4,30,3,27,-1,-3
30UUG4,29,108,23,92,-6,-16,4,27,3,25,-1,-2
30UUU3,19,105,13,101,-6,-4,3,25,6,37,3,12
30UUU4,14,112,16,106,2,-6,3,29,4,28,1,-1
30UVA1,20,112,19,103,-1,-9,4,32,4,29,0,-3
30UVB1,8,85,14,91,6,6,4,28,5,27,1,-1
30UVB2,17,98,12,94,-5,-4,4,33,5,33,1,0
30UVB3,11,106,18,109,7,3,5,35,4,33,-1,-2
30UVB4,11,113,19,107,8,-6,5,33,5,35,0,2
30UVC1,16,114,14,101,-2,-13,5,32,4,32,-1,0
30UVC2,15,110,19,113,4,3,5,36,4,36,-1,0
30UVC3,12,104,13,111,1,7,5,32,5,34,0,2
30UVC4,10,112,14,111,4,-1,5,35,4,36,-1,1
30UVD1,23,117,32,122,9,5,5,32,4,32,-1,0
30UVD2,17,108,13,106,-4,-2,4,32,6,34,2,2
30UVD3,12,104,17,117,5,13,4,31,4,32,0,1
30UVD4,12,107,12,109,0,2,5,32,5,30,0,-2
30UVE4,11,103,18,114,7,11,4,33,4,33,0,0
30UVF1,26,116,26,103,0,-13,4,26,4,31,0,5
30UVF3,15,109,18,110,3,1,4,28,3,27,-1,-1
30UVF4,30,129,26,107,-4,-22,5,26,4,28,-1,2
30UVG1,10,98,16,106,6,8,5,29,4,30,-1,1
30UVG2,9,90,10,99,1,9,4,26,4,25,0,-1
30UVG3,25,110,14,106,-11,-4,3,27,4,28,1,1
30UVG4,17,107,11,104,-6,-3,3,27,4,28,1,1
30UVU1,15,112,16,108,1,-4,6,35,7,42,1,7
30UVU2,10,103,13,110,3,7,4,30,8,46,4,16
30UVU3,11,108,10,100,-1,-8,6,27,10,45,4,18
30UVU4,6,94,7,95,1,1,5,34,8,41,3,7
30UVV4,21,86,18,92,-3,6,3,18,4,23,1,5
30UWA1,NA,NA,NA,NA,NA,NA,1,10,NA,6,NA,-4
30UWB1,NA,NA,NA,NA,NA,NA,5,36,6,36,1,0
30UWB2,23,116,16,110,-7,-6,5,33,5,36,0,3
30UWB3,13,105,11,111,-2,6,5,35,6,37,1,2
30UWB4,19,119,29,117,10,-2,5,36,5,39,0,3
30UWC1,10,102,13,104,3,2,6,34,6,34,0,0
30UWC2,13,111,22,119,9,8,5,35,6,37,1,2
30UWC3,10,100,12,105,2,5,6,33,5,35,-1,2
30UWC4,11,102,17,115,6,13,6,34,5,35,-1,1
30UWD1,12,104,10,107,-2,3,4,32,4,34,0,2
30UWD2,11,110,15,109,4,-1,5,35,6,34,1,-1
30UWD3,14,117,19,118,5,1,5,34,6,35,1,1
30UWD4,11,109,18,117,7,8,4,33,4,35,0,2
30UWE1,14,116,22,126,8,10,3,30,3,32,0,2
30UWE2,NA,NA,NA,NA,NA,NA,5,35,4,33,-1,-2
30UWE3,11,108,17,116,6,8,5,32,2,32,-3,0
30UWE4,14,108,18,115,4,7,6,32,4,33,-2,1
30UWF1,10,111,13,108,3,-3,4,30,4,28,0,-2
30UWF2,13,110,21,120,8,10,4,29,4,30,0,1
30UWF3,19,111,24,126,5,15,4,30,5,35,1,5
30UWF4,NA,NA,NA,NA,NA,NA,4,28,5,26,1,-2
30UWG1,21,107,28,115,7,8,4,25,4,27,0,2
30UWG2,12,109,10,99,-2,-10,4,22,3,27,-1,5
30UWG4,24,110,30,118,6,8,3,27,3,26,0,-1
30UWU1,18,111,17,106,-1,-5,4,34,9,38,5,4
30UWU2,8,98,7,97,-1,-1,3,24,8,40,5,16
30UWU3,18,117,16,120,-2,3,3,31,7,38,4,7
30UWU4,9,103,11,116,2,13,4,36,8,41,4,5
30UWV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
30UWV3,23,119,17,105,-6,-14,6,38,7,38,1,0
30UXB1,NA,NA,NA,NA,NA,NA,5,30,6,33,1,3
30UXB2,17,121,20,118,3,-3,5,34,6,34,1,0
30UXB3,14,99,15,113,1,14,6,34,8,38,2,4
30UXB4,13,102,21,114,8,12,5,35,7,37,2,2
30UXC1,11,99,12,101,1,2,4,30,4,34,0,4
